CITY.TOWN	CASE	RATE
TEMPLETON	34	380.70
TEWKSBURY	129	418.96
TISBURY	<5	NA
TOLLAND	0	0.00
TOPSFIELD	16	273.79
TOWNSEND	11	120.23
TRURO	8	405.10
TYNGSBOROUGH	40	333.59
TYRINGHAM	<5	NA
UPTON	11	121.67
UXBRIDGE	20	129.76
WAKEFIELD	119	440.66
WALES	<5	NA
WALPOLE	92	355.20
WALTHAM	298	447.05
WARE	10	98.63
WAREHAM	34	141.96
WARREN	<5	NA
WARWICK	0	0.00
WASHINGTON	<5	NA
WATERTOWN	110	331.60
WAYLAND	26	195.75
WEBSTER	35	203.59
WELLESLEY	75	252.23
WELLFLEET	<5	NA
WENDELL	0	0.00
WENHAM	7	134.46
WEST BOYLSTON	17	216.56
WEST BRIDGEWATER	26	358.74
WEST BROOKFIELD	5	134.79
WEST NEWBURY	<5	NA
WEST SPRINGFIELD	110	373.42
WEST STOCKBRIDGE	<5	NA
WEST TISBURY	5	173.43
WESTBOROUGH	72	382.12
WESTFIELD	202	485.83
WESTFORD	50	216.08
WESTHAMPTON	<5	NA
WESTMINSTER	10	136.39
WESTON	56	504.79
WESTPORT	13	78.11
WESTWOOD	48	325.66
WEYMOUTH	267	476.25
WHATELY	<5	NA
WHITMAN	52	337.23
WILBRAHAM	42	288.81
WILLIAMSBURG	5	202.69
WILLIAMSTOWN	74	1004.24
WILMINGTON	140	574.40
WINCHENDON	32	297.77
WINCHESTER	37	165.74
WINDSOR	0	0.00
WINTHROP	81	429.77
WOBURN	117	281.99
WORCESTER	886	461.77
WORTHINGTON	0	0.00
WRENTHAM	29	257.22
YARMOUTH	42	174.83
UNKNOWN1	506	NA
STATE TOTAL	28163	487.76
